date_string,time_string,player_name,pokemon,trainer_name, trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam
11-18,18:16:36,NINTEN,Articuno,Jr Trainer F,3,Route 6,3,3:21.43,3:21,0h3m21s,0,0,21,0:46,2.734,ICE BEAM,PECK,,,1,2001,166,25,26,98,91,44,8,12322,Flareon
11-18,18:16:40,NINTEN,Articuno,Jr Trainer M,5,Route 6,2,3:25.55,3:25,0h3m25s,0,0,21,0:47,3.233,ICE BEAM,PECK,,,1,2004,166,26,26,102,95,46,8,12642,Flareon
11-18,18:16:48,NINTEN,Articuno,Youngster,8,SS Anne,1,3:33.65,3:33,0h3m33s,0,0,22,0:49,1.377,ICE BEAM,PECK,,,1,2105,191,27,26,103,96,46,10,7012,Flareon
11-18,18:16:57,NINTEN,Articuno,Fisher,1,SS Anne,3,3:42.73,3:42,0h3m42s,0,0,22,0:51,4.423,ICE BEAM,PECK,,,1,2205,203,28,26,110,103,50,11,7327,Flareon
11-18,18:17:01,NINTEN,Articuno,Gentleman,5,SS Anne,2,3:46.48,3:46,0h3m46s,0,0,23,0:52,2.11,ICE BEAM,PECK,,,1,2232,207,29,26,112,105,50,11,7922,Flareon
11-18,18:17:09,NINTEN,Articuno,Rival3-SS Anne,1,SS Anne,4,3:54.54,3:54,0h3m54s,0,0,23,0:54,1700356629.158,ICE BEAM,PECK,,,1,2260,210,30,26,120,113,55,11,9112,Flareon
11-18,18:17:33,NINTEN,Articuno,Surge,1,Vermilion City - Gym,1,4:19.30,4:19,0h4m19s,0,0,24,1:00,2.376,ICE BEAM,PECK,,,2,2567,272,31,26,123,116,56,11,10412,Flareon
11-18,18:17:51,NINTEN,Articuno,Wrapping Lass,5,Route 9,4,4:36.57,4:36,0h4m36s,0,0,24,1:03,3.658,ICE BEAM,PECK,,,2,2756,288,32,26,127,120,56,13,13184,Flareon
11-18,18:17:55,NINTEN,Articuno,Bug Catcher,14,Route 9,3,4:40.46,4:40,0h4m40s,0,0,24,1:04,2.517,ICE BEAM,PECK,,,2,2796,290,33,26,130,123,56,13,13544,Flareon
11-18,18:18:03,NINTEN,Articuno,Pokemaniac,7,Rock Tunnel - 1,2,4:48.82,4:48,0h4m48s,0,0,25,1:06,3.654,ICE BEAM,PECK,,,2,2916,305,34,26,135,128,59,13,13744,Flareon
11-18,18:18:12,NINTEN,Articuno,Pokemaniac,5,Rock Tunnel,1,4:57.66,4:57,0h4m57s,0,0,25,1:08,3.42,ICE BEAM,PECK,,,2,2955,308,35,27,140,133,63,13,14894,Flareon
11-18,18:18:17,NINTEN,Articuno,Jr Trainer F,10,Rock Tunnel,2,5:02.80,5:02,0h5m2s,0,0,25,1:10,3.203,ICE BEAM,PECK,,,2,2968,308,36,27,144,137,65,13,16144,Flareon
11-18,18:18:26,NINTEN,Articuno,Selfdestructing Hiker,9,Rock Tunnel,3,5:12.30,5:12,0h5m12s,0,0,26,1:12,2.922,ICE BEAM,PECK,,,2,3081,318,37,27,147,140,65,13,16584,Flareon
11-18,18:18:32,NINTEN,Articuno,Jr Trainer F,18,Rock Tunnel - 1,3,5:17.44,5:17,0h5m17s,0,0,26,1:13,2.671,ICE BEAM,PECK,,,2,3135,340,38,27,150,143,66,13,17319,Flareon
11-18,18:18:38,NINTEN,Articuno,Gambler,7,Route 8,2,5:23.40,5:23,0h5m23s,0,0,26,1:15,1.905,ICE BEAM,PECK,,,2,3219,359,39,28,152,145,66,14,17719,Flareon
11-18,18:18:53,NINTEN,Articuno,Rocket,7,Celadon City - Game Corner,2,5:38.59,5:38,0h5m38s,0,0,27,1:18,1.999,ICE BEAM,PECK,,,2,3494,423,40,28,154,147,66,13,19399,Flareon
11-18,18:19:17,NINTEN,Articuno,Cooltrainer F,1,Celadon City - Gym,3,6:02.82,6:02,0h6m2s,0,0,28,1:24,2.81,ICE BEAM,PECK,FLY,,2,3891,458,41,28,157,150,66,17,2999,Flareon
11-18,18:19:21,NINTEN,Articuno,Erika,1,Celadon City - Gym,3,6:07.05,6:07,0h6m7s,0,0,28,1:25,2.767,ICE BEAM,PECK,FLY,,2,3894,458,42,28,160,153,66,17,3839,Flareon
11-18,18:19:35,NINTEN,Articuno,Rival4-Pkmn Tower,3,Pokemon Tower - 2F,5,6:20.84,6:20,0h6m20s,0,0,29,1:28,9.046,ICE BEAM,PECK,FLY,,2,3944,461,43,28,180,164,81,18,7007,Flareon
11-18,18:19:42,NINTEN,Articuno,Channeler,10,Pokemon Tower - 4F,2,6:27.60,6:27,0h6m27s,0,0,30,1:30,2.765,ICE BEAM,PECK,FLY,,2,3994,467,44,28,184,166,83,18,8632,Flareon
11-18,18:19:47,NINTEN,Articuno,Channeler,21,Pokemon Tower - 6F,1,6:32.60,6:32,0h6m32s,0,0,30,1:31,1.358,ICE BEAM,PECK,FLY,,2,4065,486,45,28,185,167,83,18,9322,Flareon
11-18,18:19:49,NINTEN,Articuno,Channeler,20,Pokemon Tower - 6F,1,6:34.54,6:34,0h6m34s,0,0,30,1:31,1.189,ICE BEAM,PECK,FLY,,2,4073,487,46,28,186,168,83,18,10042,Flareon
11-18,18:19:56,NINTEN,Articuno,Rocket,44,Pokemon Tower - 7F,3,6:41.51,6:41,0h6m41s,0,0,31,1:33,2.985,ICE BEAM,PECK,FLY,,2,4098,488,47,29,190,172,84,18,10762,Flareon
11-18,18:20:11,NINTEN,Articuno,Biker,8,Route 17,3,6:56.87,6:56,0h6m56s,0,0,31,1:37,3.047,ICE BEAM,PECK,FLY,,2,4241,509,48,30,194,176,85,19,11572,Flareon
11-18,18:20:21,NINTEN,Articuno,Biker,12,Route 17,5,7:07.24,7:07,0h7m7s,0,0,32,1:39,4.064,ICE BEAM,PECK,FLY,,2,4366,524,49,30,199,181,85,18,12132,Flareon
11-18,18:20:52,NINTEN,Articuno,Rocket,39,Silph Co - 10F,1,7:38.19,7:38,0h7m38s,0,0,32,1:47,2.484,ICE BEAM,PECK,FLY,,2,5010,571,50,31,202,184,87,18,12132,Flareon
11-18,18:20:59,NINTEN,Articuno,Rocket,28,Silph Co - 5F,1,7:44.99,7:44,0h7m44s,0,0,33,1:48,2.265,ICE BEAM,PECK,FLY,,2,5109,594,51,31,204,186,88,19,13122,Flareon
11-18,18:21:08,NINTEN,Articuno,Rocket,25,Silph Co - 3F,3,7:53.80,7:53,0h7m53s,0,0,33,1:50,4.094,ICE BEAM,PECK,FLY,,2,5174,608,52,31,210,190,92,19,14112,Flareon
